,city_fuel_economy,mileage,passenger_car,price,franchise_make
152535,28.0,19958.0,1,24995.0,1
58571,32.0,18048.0,1,19500.0,1
128673,28.0,14082.0,1,16491.0,1
9003,19.0,31100.0,0,33998.0,1
144235,18.0,25166.0,0,38900.0,1
92201,25.0,8528.0,0,25994.0,1
100463,26.0,21014.0,0,26420.0,1
89740,28.0,33108.0,1,16298.0,1
39021,25.0,19106.0,0,26451.0,1
203201,19.0,24853.0,0,30992.0,1
137828,21.0,17955.0,0,22037.0,1
160040,55.0,18376.0,1,24991.0,1
66566,26.0,27870.0,1,14897.0,1
31216,41.0,36856.0,0,32985.0,1
12202,32.0,7590.0,1,19443.0,1
35663,17.0,29125.0,0,33991.0,1
267714,22.0,37995.0,1,31991.0,1
101032,54.0,18084.0,1,21995.0,1
234368,20.0,25744.0,0,34988.0,1
272052,27.0,0.0,0,30195.0,1
153351,28.0,18364.0,1,19795.0,1
255639,28.0,36345.0,1,22858.0,1
213489,29.0,40734.0,1,14295.0,1
132656,21.0,46153.0,0,18000.0,1
43908,14.0,12956.0,0,42488.0,1
15325,26.0,10611.0,0,24900.0,1
49727,27.0,17048.0,0,18134.0,1
109561,28.0,33764.0,1,15999.0,1
204645,28.0,23975.0,1,21999.0,1
218217,28.0,35664.0,1,22701.0,1
40336,20.0,9427.0,1,33892.0,1
48487,26.0,12405.0,0,29500.0,1
188004,28.0,30075.0,1,14488.0,1
97373,28.0,27320.0,1,17850.0,1
26508,31.0,35927.0,1,12599.0,1
276643,22.0,3588.0,1,35299.0,1
100019,27.0,11.0,0,27667.0,1
101416,28.0,37758.0,1,21981.0,1
178664,29.0,41522.0,1,16006.0,1
85430,32.0,15643.0,1,18561.0,1
215522,30.0,37230.0,1,17990.0,1
96133,19.0,30966.0,0,36700.0,1
278764,23.0,14189.0,0,22995.0,1
81383,26.0,5480.0,0,17738.0,1
161492,19.0,20745.0,0,42286.0,1
205050,20.0,30416.0,0,32689.0,1
268787,17.0,44062.0,0,17495.0,1
204711,28.0,26002.0,1,14999.0,1
258709,13.0,21533.0,0,41689.0,1
80636,28.0,27225.0,1,17350.0,1
217937,15.0,15884.0,0,39500.0,1
14863,25.0,41515.0,0,15048.0,1
244021,17.0,40243.0,0,29680.0,1
